optimus_id,age,party,ethnicity,income,marital_status,occupation_industry,vh02g,vh04g,vh06g,vh08g,vh10g,vh12g,donates_to_liberal_causes,congressional_district,vote,vote_prob
861681,69.0,1,1,3,1,1,1,1,1,1,1,0,2,4.0,0,0.0
1084850,20.0,3,1,6,3,14,0,0,0,0,0,0,2,2.0,0,0.0
644435,28.0,4,1,6,3,14,0,1,1,0,0,0,2,3.0,0,0.0
57683,78.0,3,1,6,1,14,0,0,0,0,0,0,2,3.0,0,0.0
167371,68.0,2,6,6,3,14,1,1,1,1,1,0,2,4.0,0,0.2
974034,69.0,2,1,3,3,14,1,1,1,1,0,0,2,2.0,0,0.0
660415,53.0,1,1,6,1,14,0,0,0,0,0,0,2,3.0,0,0.0
313964,36.0,2,2,6,3,14,1,1,1,0,1,0,2,4.0,0,0.0
720804,53.0,2,1,4,1,2,0,0,0,0,1,0,2,3.0,0,0.1
547190,30.0,4,3,1,1,14,1,0,1,1,1,0,2,3.0,0,0.0
960468,30.0,1,4,6,3,14,0,0,0,0,0,0,2,2.0,0,0.0
981530,49.0,4,4,6,3,14,1,0,0,0,0,0,2,2.0,0,0.0
588688,47.0,2,1,3,1,5,1,0,1,0,1,0,2,1.0,0,0.1
876200,47.0,4,1,6,1,14,1,0,1,0,1,0,2,2.0,0,0.1
548469,65.0,2,1,3,3,14,0,0,1,0,0,0,2,3.0,0,0.0
411609,66.0,1,1,6,2,14,1,1,1,1,1,1,2,4.0,0,0.4
941281,73.0,3,1,5,3,14,1,1,1,0,0,0,2,2.0,0,0.0
234208,26.0,2,4,6,3,14,0,0,0,0,0,0,2,4.0,0,0.0
597777,37.0,2,4,2,1,14,1,0,0,0,0,0,2,3.0,0,0.0
274336,44.0,1,6,1,1,14,1,1,1,0,1,1,2,3.0,0,0.4
198876,26.0,1,6,4,3,14,1,1,1,0,0,0,2,4.0,0,0.0
14339,67.0,2,1,4,1,3,1,1,1,0,0,0,2,3.0,0,0.0
179933,65.0,1,1,3,1,4,1,1,1,1,1,1,2,4.0,0,0.4
564484,46.0,1,4,4,3,3,0,0,0,0,0,0,2,3.0,0,0.0
11866,64.0,2,1,4,3,14,1,1,1,0,1,0,2,1.0,0,0.1
200686,44.0,1,1,3,3,14,1,1,1,0,0,0,2,4.0,0,0.0
